PassengerId,Pclass,Age,SibSp,Parch,Fare,Family_size,Sex_male,Embarked_Q,Embarked_S
1,3,22.0,1,0,7.25,1,True,False,True
2,1,38.0,1,0,71.2833,1,False,False,False
3,3,26.0,0,0,7.925,0,False,False,True
4,1,35.0,1,0,53.1,1,False,False,True
5,3,35.0,0,0,8.05,0,True,False,True
6,3,28.0,0,0,8.4583,0,True,True,False
7,1,54.0,0,0,51.8625,0,True,False,True
8,3,2.0,3,1,21.075,4,True,False,True
9,3,27.0,0,2,11.1333,2,False,False,True
10,2,14.0,1,0,30.0708,1,False,False,False
11,3,4.0,1,1,16.7,2,False,False,True
12,1,58.0,0,0,26.55,0,False,False,True
13,3,20.0,0,0,8.05,0,True,False,True
14,3,39.0,1,5,31.275,6,True,False,True
15,3,14.0,0,0,7.8542,0,False,False,True
16,2,55.0,0,0,16.0,0,False,False,True
17,3,2.0,4,1,29.125,5,True,True,False
18,2,28.0,0,0,13.0,0,True,False,True
19,3,31.0,1,0,18.0,1,False,False,True
20,3,28.0,0,0,7.225,0,False,False,False
21,2,35.0,0,0,26.0,0,True,False,True
22,2,34.0,0,0,13.0,0,True,False,True
23,3,15.0,0,0,8.0292,0,False,True,False
24,1,28.0,0,0,35.5,0,True,False,True
25,3,8.0,3,1,21.075,4,False,False,True
26,3,38.0,1,5,31.3875,6,False,False,True
27,3,28.0,0,0,7.225,0,True,False,False
28,1,19.0,3,2,263.0,5,True,False,True
29,3,28.0,0,0,7.8792,0,False,True,False
30,3,28.0,0,0,7.8958,0,True,False,True
31,1,40.0,0,0,27.7208,0,True,False,False
32,1,28.0,1,0,146.5208,1,False,False,False
33,3,28.0,0,0,7.75,0,False,True,False
34,2,66.0,0,0,10.5,0,True,False,True
35,1,28.0,1,0,82.1708,1,True,False,False
36,1,42.0,1,0,52.0,1,True,False,True
37,3,28.0,0,0,7.2292,0,True,False,False
38,3,21.0,0,0,8.05,0,True,False,True
39,3,18.0,2,0,18.0,2,False,False,True
40,3,14.0,1,0,11.2417,1,False,False,False
41,3,40.0,1,0,9.475,1,False,False,True
42,2,27.0,1,0,21.0,1,False,False,True
43,3,28.0,0,0,7.8958,0,True,False,False
44,2,3.0,1,2,41.5792,3,False,False,False
45,3,19.0,0,0,7.8792,0,False,True,False
46,3,28.0,0,0,8.05,0,True,False,True
47,3,28.0,1,0,15.5,1,True,True,False
48,3,28.0,0,0,7.75,0,False,True,False
49,3,28.0,2,0,21.6792,2,True,False,False
50,3,18.0,1,0,17.8,1,False,False,True
51,3,7.0,4,1,39.6875,5,True,False,True
52,3,21.0,0,0,7.8,0,True,False,True
53,1,49.0,1,0,76.7292,1,False,False,False
54,2,29.0,1,0,26.0,1,False,False,True
55,1,65.0,0,1,61.9792,1,True,False,False
56,1,28.0,0,0,35.5,0,True,False,True
57,2,21.0,0,0,10.5,0,False,False,True
58,3,28.5,0,0,7.2292,0,True,False,False
59,2,5.0,1,2,27.75,3,False,False,True
60,3,11.0,5,2,46.9,7,True,False,True
61,3,22.0,0,0,7.2292,0,True,False,False
62,1,38.0,0,0,80.0,0,False,False,True
63,1,45.0,1,0,83.475,1,True,False,True
64,3,4.0,3,2,27.9,5,True,False,True
65,1,28.0,0,0,27.7208,0,True,False,False
66,3,28.0,1,1,15.2458,2,True,False,False
